data_date,ticker,signal
3/21/2015,AAP,1.648935354
3/22/2015,AAP,2.96536962
3/23/2015,AAP,3.439000668
3/24/2015,AAP,3.344304925
3/25/2015,AAP,3.26351993
3/26/2015,AAP,3.112356453
3/27/2015,AAP,3.088707307
3/28/2015,AAP,3.000721387
3/29/2015,AAP,2.737371487
3/30/2015,AAP,2.576744207
3/31/2015,AAP,2.370084819
4/1/2015,AAP,2.294176283
4/2/2015,AAP,2.382250317
4/3/2015,AAP,2.615851766
4/4/2015,AAP,2.981987081
4/5/2015,AAP,3.650174272
4/6/2015,AAP,3.358538912
4/7/2015,AAP,3.074489846
4/8/2015,AAP,3.271665373
4/9/2015,AAP,3.173845955
4/10/2015,AAP,2.699294023
4/11/2015,AAP,2.182742408
4/12/2015,AAP,1.790007738
4/13/2015,AAP,1.630718612
4/14/2015,AAP,1.831040543
4/15/2015,AAP,1.729883067
4/16/2015,AAP,2.127870793
4/17/2015,AAP,2.795127392
4/18/2015,AAP,2.708835974
4/19/2015,AAP,2.703926615
4/20/2015,AAP,3.141721376
4/21/2015,AAP,3.000038146
4/22/2015,AAP,3.298115032
4/23/2015,AAP,3.198678904
4/24/2015,AAP,3.023544963
4/25/2015,AAP,3.029451899
4/26/2015,AAP,2.648183736
4/27/2015,AAP,2.551819797
4/28/2015,AAP,2.827627526
4/29/2015,AAP,2.51350647
4/30/2015,AAP,2.740262
5/1/2015,AAP,2.593346874
5/2/2015,AAP,2.618506872
5/3/2015,AAP,2.64126049
5/4/2015,AAP,2.304331949
5/5/2015,AAP,2.461045187
5/6/2015,AAP,3.024588916
5/7/2015,AAP,2.670129001
5/8/2015,AAP,2.520040188
5/9/2015,AAP,2.533817543
5/10/2015,AAP,2.379393279
5/11/2015,AAP,2.2727912
5/12/2015,AAP,2.320727566
5/13/2015,AAP,2.12611715
5/14/2015,AAP,2.213099051
5/15/2015,AAP,2.269932387
5/16/2015,AAP,2.417595242
5/17/2015,AAP,3.042532286
5/18/2015,AAP,3.186106679
5/19/2015,AAP,2.865419265
5/20/2015,AAP,2.753759787
5/21/2015,AAP,2.524111921
5/22/2015,AAP,0.945815841
5/23/2015,AAP,0.911563479
5/24/2015,AAP,0.546599196
5/25/2015,AAP,0.452074941
5/26/2015,AAP,0.433560092
5/27/2015,AAP,0.04937765
5/28/2015,AAP,0.18137411
5/29/2015,AAP,0.378293058
5/30/2015,AAP,0.3413679
5/31/2015,AAP,0.557755246
6/1/2015,AAP,0.697597097
6/2/2015,AAP,0.899333022
6/3/2015,AAP,1.507921258
6/4/2015,AAP,1.638805792
6/5/2015,AAP,1.325100756
6/6/2015,AAP,1.249591977
6/7/2015,AAP,0.776648555
6/8/2015,AAP,0.785167388
6/9/2015,AAP,0.521824065
6/10/2015,AAP,0.187961143
6/11/2015,AAP,0.079845583
6/12/2015,AAP,0.262565325
6/13/2015,AAP,0.296564553
6/14/2015,AAP,0.098228215
6/15/2015,AAP,-0.19568805
6/16/2015,AAP,0.317624981
6/17/2015,AAP,1.115484622
6/18/2015,AAP,1.428347145
6/19/2015,AAP,1.507591632
6/20/2015,AAP,1.654227795
6/21/2015,AAP,1.99857835
6/22/2015,AAP,2.5300802
6/23/2015,AAP,2.16917591
6/24/2015,AAP,1.352698188
6/25/2015,AAP,0.870521426
